,800 V,Drift Test @ 800 V
58,53446,53635.0
2,51658,51660
51,38281,38394.0
18,38421,38214
61,57086,57071.0
8,57521,57642
75,43296,43194.0
37,59222,59217
16,46695,46781
93,39412,39407.0
88,52839,52713.0
9,50163,50127
71,53322,53203.0
87,48549,48393.0
118,56704,56765.0
68,54950,55182.0
7,45424,45420
22,59742,60000
47,51708,51537.0
36,58237,58244
77,49738,49182.0
78,44253,44430.0
82,46249,46286.0
17,38877,38899
67,37610,37831.0
113,41710,41700.0
111,38909,38810.0
42,45641,45348.0
101,48979,48704.0
57,40504,40724.0
72,42445,42248.0
27,36981,37171
94,39474,39414.0
66,40490,40566.0
28,62851,62932
33,45403,45528
3,51504,51765
106,36566,36598.0
97,41312,41283.0
21,48655,48860
52,46767,46825.0
112,43996,44016.0
70,52275,52439.0
79,44188,44208.0
53,53423,53325.0
99,55540,55659.0
49,49982,49864.0
50,50967,50900.0
80,59128,58874.0
48,55048,55175.0
108,52334,52418.0
90,42416,42413.0
19,51305,50985
20,41259,41588
59,50150,50258.0
110,49840,49750.0
5,48330,48519
24,52257,52190
119,54711,54891.0
39,51905,51967
100,48496,47877.0
14,53195,52583
117,41917,42061.0
4,60851,61105
89,63363,63738.0
41,57225,56908.0
0,50738,50816
35,47614,47452
81,49529,49685.0
30,51349,51016
84,43330,43523.0
6,37137,37279
95,40928,40700.0
31,44474,44057
65,45605,45650.0
105,52040,52071.0
96,42194,42120.0
69,37200,38860.0
86,49684,49761.0
76,49563,49535.0
74,45924,45880.0
45,59845,59675.0
64,42052,42036.0
38,56993,56849
103,43512,43288.0
32,43553,43514
83,46675,46757.0
102,47157,46931.0
63,40010,40113.0
73,44856,46417.0
92,40464,40470.0
26,44380,44939
98,42045,42002.0
62,44363,44325.0
107,48821,48777.0
13,49506,49551
116,41017,41073.0
104,39494,35261.0
54,42714,34321.0
44,44289,43875.0
115,38147,38053.0
55,40884,40796.0
114,47780,47750.0
12,36526,36593
40,48732,47820.0
109,53778,53714.0
34,41863,42260
15,47754,47911
